id,order,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped
285,285,,,,,2232-E,Transportation,Traffic,School Zone Beacons,Sammye E. Coan Middle School,School flashers for middle school 1550 Hosea Williams Drive,High,,"1550 Hosea L Williams Dr NE, Atlanta, GA 30317",1550 Hosea L Williams Dr NE,,33.7540512,-84.3370254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,286,,,,,2138-E,Transportation,Traffic,School Zone Beacons,Scott Elementary School,School flashers for elementary school at 1752 Hollywood Road,High,"$18,540","1752 Hollywood Road Northwest, Atlanta, GA 30318",1752 Hollywood Road Northwest,,33.803378,-84.471701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,287,,,,,2309-E,Municipal,Public Art,Public Art,Shango y Eshu-Elegba En La Corta De Atlanta,Inspection and painting restoration.,,,,,,33.74744,-84.3931534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,288,,,,,2139-E,Transportation,Traffic,School Zone Beacons,Smith Elementary School,School flashers for elementary school at 370 Old Ivy Road,High,"$9,270","370 Old Ivy Road Northeast, Atlanta, GA 30342",370 Old Ivy Road Northeast,,33.8573248,-84.375816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,289,,,,,2140-E,Transportation,Traffic,School Zone Beacons,Smith Intermediate School,School flashers for school at 4100 Roswell Road,High,"$9,270","4100 Roswell Rd, Atlanta, GA 30342",4100 Roswell Rd,,33.8662932,-84.3810114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,290,,,,,2141-E,Transportation,Traffic,School Zone Beacons,South Atlanta Computer Animation & Design School,School flashers for High school at 800 Hutchens Road,High,"$9,270","800 Hutchens Road Southeast, Atlanta, GA 30354",800 Hutchens Road Southeast,,33.6708384,-84.3619385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,291,,,,,2097-E,Transportation,Roadway,Roadway Resurfacing,Southside Industrial Court,Southside Industrial Parkway to cul-de-sac,High,"$82,900","3781 Southside Industrial Ct, Atlanta, GA 30354",3781 Southside Industrial Ct,,33.649379,-84.377902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,292,,,,,2098-E,Transportation,Roadway,Roadway Resurfacing,Southside Industrial Parkway,Browns Mill Road to Jonesboro Road,High,"$1,054,050","660 McWilliams Rd SE, Atlanta, GA 30315",660 McWilliams Rd SE,,33.6887601,-84.3665563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,293,,,,,2099-E,Transportation,Roadway,Roadway Resurfacing,Southside Industrial Way,Southside Industrial Parkway to Dead End,High,"$55,900","Wilson Rd SE, Atlanta, GA 30354",Wilson Rd SE,,33.652481,-84.3849232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,294,,,,,2142-E,Transportation,Traffic,School Zone Beacons,Springdale Park Elementary School,School flashers for elementary school at 1246 Ponce de Leon Avenue,High,"$9,270","1246 Ponce De Leon Avenue Northeast, Atlanta, GA 30306‎",1246 Ponce De Leon Avenue Northeast,,33.7752539,-84.3467117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,295,,,,,2273-E,Municipal,Public Safety,Public Safety,Station 1,"Replace garage exhaust system, ADA upgrades, renovate kitchen, roof repairs, replace ceiling tiles, paint interior walls and exterior paint, HVAC controls upgrade, upgrade lockers and various miscellaneous repairs.",High,,"71 Elliott St SW, Atlanta, GA 30313",71 Elliott St SW,,33.752149,-84.398192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,296,,,,,2280-E,Municipal,Public Safety,Public Safety,Station 10,"Replace garage exhaust system, ADA upgrades, repair roof, renovate kitchen, repair/replace windows and structural repairs. ",High,,"447 Boulevard SE, Atlanta, GA 30312",447 Boulevard SE,,33.742333,-84.368498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,297,,,,,2281-E,Municipal,Public Safety,Public Safety,Station 11,"Renovate kitchen cabinets, interior / exterior finishes and correct exterior conditions of the roof.",High,,"165 16th St NW, Atlanta, GA 30363",165 16th St NW,,33.790413,-84.392659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,298,,,,,2282-E,Municipal,Public Safety,Public Safety,Station 12,"ADA upgrades, renovate kitchen cabinets, interior/exterior finishes, repair/replace windows and structural repairs.",High,,"1288 DeKalb Ave NE, Atlanta, GA 30307",1288 DeKalb Ave NE,,33.761536,-84.345371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,299,,,,,2283-E,Municipal,Public Safety,Public Safety,Station 14,"ADA upgrades, replace garage exhaust system, renovate kitchen, structural repair, upgrade lockers, replace ceiling tiles, paint interior and exterior and building modification.",High,,"1203 Lee St SW, Atlanta, GA 30310",1203 Lee St SW,,33.722052,-84.423584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,300,,,,,2284-E,Municipal,Public Safety,Public Safety,Station 16,"Replace garage exhaust system, ADA upgrades, renovate kitchen, mechanical controls, repair/replace windows, upgrade lockers and interior/exterior finishes.",High,,"1048 Joseph E. Boone Blvd NW, Atlanta, GA 30314",1048 Joseph E. Boone Blvd NW,,33.76311,-84.421959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,301,,,,,2285-E,Municipal,Public Safety,Public Safety,Station 17,"ADA upgrades, replace garage exhaust system, repair/replace windows, into/ext finishes (2nd floor) and minor repairs.",High,,"1489 Ralph David Abernathy Blvd SW, Atlanta, GA 30310",1489 Ralph David Abernathy Blvd SW,,33.742265,-84.436455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,302,,,,,2286-E,Municipal,Public Safety,Public Safety,Station 19 ,"Replace garage exhaust system, ADA upgrades, renovate kitchen, roof repairs, replace ceiling tiles, paint interior walls and exterior paint, HVAC controls upgrade, upgrade lockers and various miscellaneous repairs.",High,,"1063 North Highland Ave NE, Atlanta, GA 30306",1063 North Highland Ave NE,,33.783615,-84.354228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,303,,,,,2274-E,Municipal,Public Safety,Public Safety,Station 2 ,"Replace garage exhaust system, ADA upgrades, renovate kitchen, roof repairs, replace ceiling tiles, paint interior walls and exterior paint, HVAC controls upgrade, upgrade lockers and various miscellaneous repairs.",High,,"1568 Jonesboro Rd SE, Atlanta, GA 30315",1568 Jonesboro Rd SE,,33.710332,-84.381105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,304,,,,,2287-E,Municipal,Public Safety,Public Safety,Station 20,"ADA upgrades, renovate kitchens, roof repairs, replace ceiling tiles, assess repair/renovate windows, paint interior and exterior. and repair lockers.",High,,"590 Manford Rd SW, Atlanta, GA 30310",590 Manford Rd SW,,33.718088,-84.406956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,305,,,,,2288-E,Municipal,Public Safety,Public Safety,Station 21,"Replace garage exhaust system, ADA upgrades, renovate kitchen, roof repairs, replace ceiling tiles, paint interior walls and exterior paint, upgrade lockers and various miscellaneous repairs.",High,,"3201 Roswell Rd NE, Atlanta, GA 30305",3201 Roswell Rd NE,,33.842479,-84.378122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,306,,,,,2289-E,Municipal,Public Safety,Public Safety,Station 23,"ADA upgrades, replace garage exhaust system, repair roof, repair/replace windows and structural repairs.",High,,"1545 Howell Mill Rd NW, Atlanta, GA 30318",1545 Howell Mill Rd NW,,33.797619,-84.416053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,307,,,,,2271-E,Municipal,Public Safety,Public Safety,Station 25,"Replace garage exhaust system, ADA upgrades, repair roof, repair/replace windows,  structural repairs and upgrade lockers.",High,,"2349 Benjamin E Mays Dr SW, Atlanta, GA 30311",2349 Benjamin E Mays Dr SW,,33.723023,-84.464547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,308,,,,,2290-E,Municipal,Public Safety,Public Safety,Station 26,"Replace garage exhaust system, ADA upgrades, repair roof, repair/replace windows,  structural repairs and replace lighting.",High,,"2970 Howell Mill Rd NW, Atlanta, GA 30327",2970 Howell Mill Rd NW,,33.837476,-84.420826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,309,,,,,2291-E,Municipal,Public Safety,Public Safety,Station 27,"ADA upgrades, replace garage exhaust, ceiling tiles, paint interior and exterior finishes, locker upgrade and BR upgrades.",High,,"4260 Northside Dr NW, Atlanta, GA 30327",4260 Northside Dr NW,,33.871168,-84.408493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,310,,,,,2292-E,Municipal,Public Safety,Public Safety,Station 29,"Replace garage exhaust system ,ADA upgrades,  renovate kitchen, mechanical controls, paint interior walls, upgrade lockers and misc. repairs.",High,,"2167 Monroe Dr NE, Atlanta, GA 30324",2167 Monroe Dr NE,,33.810605,-84.369056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,311,,,,,2275-E,Municipal,Public Safety,Public Safety,Station 3,"ADA upgrades, replace garage exhaust system, upgrade lockers, kitchen renovation, repair/replace flooring and structural repairs.",High,,"721 Phipps Blvd, Atlanta, GA 30326",721 Phipps Blvd,,33.854379,-84.363522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,312,,,,,2272-E,Municipal,Public Safety,Public Safety,Station 30 (Shutdown),"Replace garage exhaust system, ADA upgrades, renovate kitchen, roof repairs, replace ceiling tiles, paint interior walls and exterior paint, HVAC controls upgrade, upgrade lockers and various miscellaneous repairs.",High,,"10 Cleveland Ave SW, Atlanta, GA 30315",10 Cleveland Ave SW,,33.680708,-84.389427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,313,,,,,2293-E,Municipal,Public Safety,Public Safety,Station 31 ,"Replace garage exhaust system, ADA upgrades, renovate kitchen, roof repairs, replace ceiling tiles, paint interior walls and exterior paint, HVAC controls upgrade, upgrade lockers and various miscellaneous repairs.",High,,"2406 Fairburn Rd SW, Atlanta, GA 30331",2406 Fairburn Rd SW,,33.689046,-84.511305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,314,,,,,2294-E,Municipal,Public Safety,Public Safety,Station 34,"Replace garage exhaust system, ADA upgrades,  renovate kitchen, masonry repairs, interior finishes and various miscellaneous repairs.",High,,"3671 Southside Industrial Pkwy, Atlanta, GA 30354",3671 Southside Industrial Pkwy,,33.654755,-84.374075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,315,,,,,2295-E,Municipal,Public Safety,Public Safety,Station 38,"ADA upgrades, replace garage exhaust system, renovate kitchen, waterproofing, miscellaneous repairs and rear apron concrete repairs. ",High,,"2911 Donald Lee Holowell Pkwy NW, Atlanta, GA 30318",2911 Donald Lee Holowell Pkwy NW,,33.782077,-84.483438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,316,,,,,2276-E,Municipal,Public Safety,Public Safety,Station 4,"Replace garage exhaust system,  upgrade lockers and building modification.",High,,"309 Edgewood Ave SE, Atlanta, GA 30312",309 Edgewood Ave SE,,33.754033,-84.377612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,317,,,,,2277-E,Municipal,Public Safety,Public Safety,Station 5,"ADA upgrades, replace exhaust system, upgrade lockers, renovate kitchen, repair/replace windows, and lighting.",High,,"2825 Campbellton Rd SW, Atlanta, GA 30311",2825 Campbellton Rd SW,,33.700235,-84.481127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,318,,,,,2278-E,Municipal,Public Safety,Public Safety,Station 8,"ADA upgrades, replace exhaust system, interior paint, upgrade lockers, renovate kitchen, evaluate HVAC controls and repair/replace windows. Prepare masonry structural designs and corrective actions. Exterior clean-up. ",High,,"1711 Marietta Blvd NW, Atlanta, GA 30318",711 Marietta Blvd NW,,33.802159,-84.435654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,319,,,,,2279-E,Municipal,Public Safety,Public Safety,Station 9,"ADA upgrades, replace exhaust system, renovate kitchen cabinets, upgrade lockers, repair/replace windows and assess electrical/mechanical upgrades.",High,,"3501 Martin Luther King Jr Dr NW, Atlanta, GA 30331",3501 Martin Luther King Jr Dr NW,,33.758297,-84.5036421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,320,,,,,2100-E,Transportation,Roadway,Roadway Resurfacing,Stone Hogan Connector,Resurfacing from Stone Road to City limits,High,"$123,700","3050 Stone Hogan Conn SW, Atlanta, GA 30331",3050 Stone Hogan Conn SW,,33.6725948,-84.4964546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,321,,,,,2327-E,Municipal,Public Art,Public Art,Summerhill Rebirth,Tile restoration.,,,,,,53.360712,-6.251209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,322,,,,,2143-E,Transportation,Traffic,School Zone Beacons,Sutton Middle School,School flashers for middle school at 4360 Powers Ferry Road,High,"$9,270","4360 Powers Ferry Rd, Atlanta, GA 30327",4360 Powers Ferry Rd,,33.8739124,-84.3997954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,323,,,,,2101-E,Transportation,Roadway,Roadway Resurfacing,Sydney Street,Resurfacing from Connally Street to Cherokee Avenue,High,"$120,000","444 Sydney St SE, Atlanta, GA 30312",444 Sydney St SE,,33.741808,-84.373125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,324,,,,,2144-E,Transportation,Traffic,School Zone Beacons,Sylvan Hills Middle School,School flashers for middle school at 1461 Sylvan Road,High,"$18,540","1461 Sylvan Road Southwest, Atlanta, GA 30310",1461 Sylvan Road Southwest,,33.7151241,-84.4186358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,325,,,,,2172-E,Transportation,Traffic,Traffic Communication Corridor,Sylvan Road,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$457,300","1683 Sylvan Road Southwest, Atlanta, GA 30310",1683 Sylvan Road Southwest,,33.70859,-84.418525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,326,,,,,2224-E,Transportation,Traffic,Traffic Signals,Sylvan Road @ Deckner Avenue & Brewer Boulevard,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","935 Deckner Ave SW, Atlanta, GA 30310",935 Deckner Ave SW,,33.714151,-84.418792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,327,,,,,2300-E,Municipal,Public Art,Public Art,The Last Meter,Structural and bronze repair/restoration.,,,,,,33.7857655,-84.3742711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,328,,,,,2348-E,Municipal,Public Art,Public Art,The Horn Section,Landscaping and lighting repairs.,,,"Cleopas R. Johnson Park, Atlanta GA 30314",,,33.748493,-84.405776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,329,,,,,2340-E,Municipal,Public Art,Public Art,Threshold,"Move and relocate sculpture, bronze restored,  new foundation. ",,,Peachtree St at Underground Atlanta,,,33.844046,-84.370609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,330,,,,,2145-E,Transportation,Traffic,School Zone Beacons,Toomer Elementary School,School flashers for elementary school at 65 Rogers Street,High,"$9,270","65 Rogers Street Northeast, Atlanta, GA 30317",65 Rogers Street Northeast,,33.7547746,-84.3276863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,331,,,,,2146-E,Transportation,Traffic,School Zone Beacons,Towns Elementary School,School flashers for elementary school at 760 Bolton Road,High,"$9,270","760 Bolton Road Northwest, Atlanta, GA 30331",760 Bolton Road Northwest,,33.7767613,-84.5041711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,332,,,,,2352-E,Municipal,Public Art,Public Art,Tower of Time,"Fix lights, restore chimes, install brick, and paint.",,,2405 Fairburn Rd. SW 30331,,,33.68866,-84.513002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,333,,,,,2332-E,Municipal,Public Art,Public Art,Tree of Life and Kan,Metal restoration.,,,,,,47.668267,-122.3773206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,334,,,,,2021-E,Transportation,Complete Street,Complete Street,University Ave,"Complete Street improvements inclusive of milling, repaving, and installation of bicycle lanes, sidewalks and pedestrian improvements from Metropolitan Pkwy to Hank Aaron Drive",High,"$1,012,200.00","1217 Metropolitan Parkway Southwest, Atlanta, GA 30310",1217 Metropolitan Parkway Southwest,,33.72174,-84.4084695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,335,,,,,2147-E,Transportation,Traffic,School Zone Beacons,University Community School,School flashers for school at 2050 Tiger Flowers Drive,High,"$9,270","2050 Tiger Flowers Dr NW, Atlanta, GA 30314",2050 Tiger Flowers Dr NW,,33.760085,-84.4542585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,336,,,,,2313-E,Municipal,Public Art,Public Art,Untitled Children's Mural,Fine Art painting restoration.,,,,,,33.7471645,-84.3955637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,337,,,,,2319-E,Municipal,Public Art,Public Art,Urban Path,Bronze restoration. ,,,,,,33.7732873,-84.4410001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,338,,,,,2148-E,Transportation,Traffic,School Zone Beacons,"Washington Banking, Finance, & Investments School",School flashers for High school at 45 Whitehouse Drive,High,"$18,540","45 Whitehouse Drive Southwest, Atlanta, GA 30314‎",45 Whitehouse Drive Southwest,,33.753513,-84.420374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,339,,,,,2149-E,Transportation,Traffic,School Zone Beacons,"West End Academy (11, 12) School ","School flashers for school at 1325 Ralph D. Abernathy Drive, SW  and new location at 1401 Maynard Road",High,"$9,270","1325 Ralph David Abernathy Blvd, Atlanta, GA 30310",1325 Ralph David Abernathy Blvd,,33.7389732,-84.4313003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,340,,,,,2173-E,Transportation,Traffic,Traffic Communication Corridor,West Marietta St,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$666,000","955 West Marietta St NW, Atlanta, GA 30318",955 West Marietta St NW,,33.784117,-84.4180777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,341,,,,,2102-E,Transportation,Roadway,Roadway Resurfacing,West Wieuca Road - Phase 1,Resurfacing from Wieuca Road to Lake Forrest Drive,High,"$350,000","135 West Wieuca Rd NE, Atlanta, GA 30342",135 West Wieuca Rd NE,,33.8773623,-84.3823576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,342,,,,,2104-E,Transportation,Roadway,Roadway Resurfacing,West Wieuca Road - Phase 2,Resurfacing from Roswell Road to Wieuca Road,High,"$150,000","4427 Roswell Rd, Atlanta, GA 30342",4427 Roswell Rd,,33.8754801,-84.380597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,343,,,,,2103-E,Transportation,Roadway,Roadway Resurfacing,West Wieuca Road - Phase 3,Resurfacing from Powers Ferry Road to Lake Forrest Drive.,High,"$200,000","215 West Wieuca Rd NW, Atlanta, GA 30342",215 West Wieuca Rd NW,,33.8753683,-84.3928313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,344,,,,,2105-E,Transportation,Roadway,Roadway Resurfacing,Wieuca Road,Resurfacing from Roxboro Road to Roswell Road,High,"$653,044","3626 Peachtree Rd, Atlanta, GA 30326",3626 Peachtree Rd,,33.8552287,-84.3598691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,345,,,,,2106-E,Transportation,Roadway,Roadway Resurfacing,Wilson Road,Resurfacing from Southside Industrial Parkway to Dead End,High,"$45,500","700 Wilson Rd NW, Atlanta, GA 30318",700 Wilson Rd NW8,,33.815434,-84.411069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,346,,,,,2150-E,Transportation,Traffic,Roadway Resurfacing,Whitefoord Elementary School,School flashers for elementary school at 35 Whitefoord Avenue,High,"$18,540","35 Whitefoord Avenue Southeast, Atlanta, GA 30317‎",35 Whitefoord Avenue Southeast,,33.7530476,-84.3424078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,347,,,,,2323-E,Municipal,Public Art,Public Art,Why X Why,Paint and metal restoration.,,,,,,13.6985348,100.604719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,348,,,,,2296-E,Municipal,Public Safety,Public Safety,Zone 4 Police Precinct,"ADA upgrades, exterior lighting, evaluate HVAC controls and plumbing.",High,,"1125 Cascade Cir SW, Atlanta, GA 30311",1125 Cascade Cir SW,,33.725257,-84.450211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
